,_id,START_TIME,START_LAT,START_LNG,END_TIME,END_LAT,END_LNG,USER_ID,NAME,ADDRESS,TYPE
0,65398929-9afa-4869-a34a-b879ccbd0204,2025-04-08T08:45:00,40.724634757833414,-74.00701717096757,2025-04-08 09:47:00,40.72552299517469,-74.00716859858656,user_1411,HOLLAND,Manhattan,Tourist Attraction
3,59740169-e614-4e89-8a25-1471f795ea67,2025-04-08T08:37:00,40.70960010711745,-73.9919414213091,2025-04-08 09:33:00,40.709734824104935,-73.99268580433672,user_8048,MANHATTAN,Manhattan,Tourist Attraction
11,ffe1f705-c370-4d8d-a1e6-b3362ceb6341,2025-04-08T07:10:00,40.819480548636484,-73.93314181020845,2025-04-08 08:36:00,40.819474955713545,-73.93304737160916,user_1527,145,Manhattan,Tourist Attraction
17,7eb81225-6899-4031-be37-c47c6b1e51e4,2025-04-08T10:56:00,40.75884885236805,-73.9991447596062,2025-04-08 12:22:00,40.757940789088806,-73.99909118038575,user_6366,LINCOLN,Manhattan,Tourist Attraction
20,363826bf-ee46-4c33-b730-856dbd22e15c,2025-04-08T10:19:00,40.714701275978264,-73.97581238008704,2025-04-08 12:11:00,40.71373152583531,-73.9760286755988,user_6171,WILLIAMSBURG,Manhattan,Tourist Attraction
21,0602bc5d-3a11-42aa-adc2-3191523e585c,2025-04-08T07:21:00,40.81415929950738,-73.93385155771828,2025-04-08 07:51:00,40.81339837405594,-73.93475762739146,user_1481,MADISON,Manhattan,Tourist Attraction
23,c7f44fdf-9988-4acd-bf03-5b02dc145b25,2025-04-08T07:50:00,40.84700074947195,-73.9285220601287,2025-04-08 08:54:00,40.84624045483899,-73.92821777585793,user_4640,WASHINGTON,Manhattan,Tourist Attraction
26,4bb16431-2769-41da-8e5e-cfd15108230d,2025-04-08T10:32:00,40.82803502688598,-73.93449272624562,2025-04-08 11:09:00,40.828499027092185,-73.93351966064147,user_3734,MACOMBS DAM,Manhattan,Tourist Attraction
29,7f74c88c-772d-4fba-ae15-c58017ea1aa6,2025-04-08T07:59:00,40.86295889905344,-73.91530713818614,2025-04-08 08:36:00,40.86242786185569,-73.91574316837722,user_9921,UNIVERSITY HEIGHTS,Manhattan,Tourist Attraction
34,2db4ff35-4f52-4fda-944f-8685bb77587d,2025-04-08T08:16:00,40.70804305317227,-73.99934233022464,2025-04-08 10:02:00,40.707491753225185,-73.9999400399569,user_7686,BROOKLYN,Manhattan,Tourist Attraction
36,dc3bf044-d919-4ed3-95de-123afe63748d,2025-04-08T09:13:00,40.763872690468794,-73.94662833424147,2025-04-08 10:44:00,40.763507511617156,-73.94710018759845,user_5772,ROOSEVELT IS,Manhattan,Tourist Attraction
37,5b1e18f8-c70e-435a-bc46-371ed3af2efb,2025-04-08T06:02:00,40.80312494818145,-73.92977006337374,2025-04-08 07:28:00,40.80325150460821,-73.92947212017839,user_2236,WILLIS,Manhattan,Tourist Attraction
39,f3d203a3-9bd1-4652-99bc-8bea02529ee8,2025-04-08T06:13:00,40.845657680171854,-73.92946799599785,2025-04-08 06:48:00,40.84620948099058,-73.92935410779387,user_1293,ALEXANDER HAMILTON,Manhattan,Tourist Attraction
46,2a74c54e-2444-442d-a1a3-6dc632a60731,2025-04-08T06:23:00,40.758391053852,-73.95806128277657,2025-04-08 07:46:00,40.759379740021444,-73.95720302814715,user_5266,ED KOCH QUEENSBORO,Manhattan,Tourist Attraction
50,b7ea0aa3-32d2-4eb1-8837-05fd49b0ac4a,2025-04-08T09:02:00,40.74579837599415,-73.97313755148846,2025-04-08 09:43:00,40.74507357427794,-73.97279870246125,user_2354,QUEENS MIDTOWN,Manhattan,Tourist Attraction
