,_id,START_TIME,START_LAT,START_LNG,END_TIME,END_LAT,END_LNG,USER_ID,NAME,ADDRESS,TYPE
0,03824f4d-bac7-4375-a78d-1f92024fa632,2025-04-08T10:00:00,40.73519616365903,-73.99465215457163,2025-04-08 11:51:00,40.73454715194172,-73.99375113480815,user_1643,New School University / Parsons School Of Design,"66 FIFTH AVENUE, 10011",College/University
1,021e1936-23b2-45c0-9845-84acf02c3109,2025-04-08T10:31:00,40.73546280987431,-73.99706966379965,2025-04-08 12:19:00,40.73562047873808,-73.99748080985843,user_6811,New School University / The New School,"66 WEST 12 STREET, 10011",College/University
2,97fa012a-2d76-4a05-a35f-5d2714007bd5,2025-04-08T07:03:00,40.723441859057495,-74.00681944352681,2025-04-08 07:44:00,40.72434887222502,-74.00735359041191,user_7949,Metropolitan College,"75 VARICK STREET, 10013",College/University
8,171911aa-7082-4861-a2fb-adf686178fe3,2025-04-08T08:23:00,40.747110544796385,-73.99395097259607,2025-04-08 10:08:00,40.74702108547705,-73.99391167587424,user_2525,Fashion Institute Of Technology (Suny)," 7 AVENUE & WEST 27 STREET, 10001",College/University
16,4a816b52-9c6c-469a-afe1-dea55de7cc5a,2025-04-08T06:32:00,40.775351150446056,-73.95911733944205,2025-04-08 08:28:00,40.77550179735506,-73.9583647476853,user_6154,Hunter College School Social Work (Cuny),"129 EAST 79 STREET, 10021",College/University
17,c1570a95-4fcc-4da2-98d3-709d11590100,2025-04-08T09:15:00,40.74021907770699,-73.98339828552592,2025-04-08 09:52:00,40.74086247129757,-73.98319166228785,user_7729,Bernard M Baruch College (Cuny),"155 EAST 24 STREET, 10010",College/University
18,b3b17bbc-5b05-47f8-81fc-845f79e8e6ff,2025-04-08T09:24:00,40.71865472056016,-74.01183075983597,2025-04-08 11:24:00,40.71863525241112,-74.01093312773132,user_2566,Borough Of Manhattan Comm College (Cuny),"199 CHAMBERS STREET, 10013",College/University
19,e1923251-c774-4df7-ad0b-eb6b93387374,2025-04-08T07:06:00,40.75449402764767,-73.98218892338582,2025-04-08 08:28:00,40.754966528699484,-73.98172098076576,user_4790,Nys College Of Optometry (Suny),"33 WEST 42 STREET, 10036",College/University
20,b7abbfd1-94a1-4814-b6e5-03103c4d141d,2025-04-08T08:38:00,40.74845551426779,-73.98348992428072,2025-04-08 10:22:00,40.74757608980625,-73.98319572232296,user_9359,Cuny Grad School&University Center (Cuny),"365 FIFTH AVENUE, 10016",College/University
21,bf6ebaf8-39bf-41ed-b121-83a5e342ffc2,2025-04-08T09:02:00,40.74021907770699,-73.98339828552592,2025-04-08 09:48:00,40.73993323463583,-73.98399313426785,user_6096,Baruch Grad Sch Of Politcal Management,"55 LEXINGTON AVENUE, 10010",College/University
22,a0792e6d-13f5-46f1-a7cf-d965e16bb176,2025-04-08T10:16:00,40.768569446676494,-73.96474222642745,2025-04-08 10:50:00,40.76828921381427,-73.96440750617273,user_3219,Hunter College (Cuny),"695 PARK AVENUE, 10021",College/University
23,0b70c90b-21fa-466d-8604-d0c8223a7ec3,2025-04-08T10:10:00,40.7702792782081,-73.98825336846367,2025-04-08 11:17:00,40.770898213258484,-73.98732874681606,user_4897,John Jay College Criminal Justice (Cuny),"899 10 AVENUE, 10019",College/University
46,298bafee-fc19-49c0-b463-71026b838821,2025-04-08T07:09:00,40.71110496435334,-74.00479825356436,2025-04-08 08:48:00,,,user_9067,Pace University / New York City Campus,"1 PACE PLAZA, 10038",College/University
47,31dbc414-6226-4c2b-a313-23e752abb889,2025-04-08T08:00:00,40.715434404674916,-74.01263555490442,2025-04-08 09:47:00,,,user_5533,St. John's University / Manhattan Campus,"101 MURRAY STREET, 10007",College/University
48,9105907c-6c9a-4fbe-a117-67fbdfea61a7,2025-04-08T06:40:00,40.770821960815844,-73.98514610080309,2025-04-08 07:17:00,,,user_7836,Fordham University/Lincoln Center Campus,"113 WEST 60 STREET, 10023",College/University
49,73ef28cf-d52c-4309-a12a-2963aefda3fa,2025-04-08T08:26:00,40.806815074075836,-73.9616669913283,2025-04-08 10:22:00,,,user_1683,Columbia University,"1130 AMSTERDAM AVENUE, 10027",College/University
50,3afb7825-b3b3-4ebc-932b-b14ce37a11c7,2025-04-08T08:03:00,40.81239324826694,-73.96148487501755,2025-04-08 09:37:00,,,user_4513,Manhattan School Of Music,"120 CLAREMONT AVENUE, 10027",College/University
51,79be7285-a900-49aa-a180-48bc9f4cc254,2025-04-08T07:18:00,40.762889704137415,-73.95662756289357,2025-04-08 08:54:00,,,user_9988,"Rockefeller University, The","1230 YORK AVENUE, 10021",College/University
52,0b79448d-9644-4095-9bbf-8f7a7368f77a,2025-04-08T10:13:00,40.71458526392435,-74.01295986865433,2025-04-08 12:03:00,,,user_8468,"College Of New Rochelle, The / School Of New Resources/District Council 37 Campus","125 BARCLAY STREET, 10007",College/University
53,73f239e3-ac46-4626-ae18-ef680b17b2af,2025-04-08T09:52:00,40.76473776409553,-73.95472938360106,2025-04-08 11:18:00,,,user_6936,Cornell University / Weill Medical College Of Cornell University,"1300 YORK AVENUE, 10021",College/University
54,1c54695e-63ab-41e8-897a-17abd14b4653,2025-04-08T06:30:00,40.80824453429463,-73.94772625973405,2025-04-08 08:19:00,,,user_1409,"College Of New Rochelle, The / School Of New Resources/Rosa Parks Campus","144 WEST 125 STREET, 10027",College/University
55,9050664f-0712-402e-9866-dc67f4bcb655,2025-04-08T10:42:00,40.78642497243753,-73.97466142784745,2025-04-08 12:07:00,,,user_9544,New School University / Mannes College Of Music,"150 WEST 85 STREET, 10024",College/University
56,7f19b1ae-acc8-47fd-b5b8-f0e9471b6a6f,2025-04-08T10:40:00,40.76858064958243,-73.96245272240729,2025-04-08 12:17:00,,,user_3422,New York School Of Interior Design,"170 EAST 70 STREET, 10021",College/University
57,f8d5e632-de91-4496-a3be-b6cd18456071,2025-04-08T10:31:00,40.80494109353117,-73.94025622759209,2025-04-08 12:05:00,,,user_8259,New York College Of Podiatric Medicine,"1800 PARK AVENUE, 10035",College/University
58,f96a2734-3fcd-4d36-ac02-ad234a4b4d2c,2025-04-08T07:58:00,40.80324528879269,-73.94169697317783,2025-04-08 08:58:00,,,user_3861,Helene Fuld College Of Nursing Of North General Hospital,"1879 MADISON AVENUE, 10035",College/University
59,0efa89aa-8205-4b9b-b40e-baec56b3ed5d,2025-04-08T06:40:00,40.73207510379186,-73.99787780140895,2025-04-08 07:49:00,,,user_4896,New York University,"22 WASHINGTON SQUARE NORTH, 10011",College/University
60,1d37dc21-60c9-452e-83d2-1f636ec82d56,2025-04-08T07:21:00,40.76872195160445,-73.95974673761155,2025-04-08 08:20:00,,,user_3915,Marymount Manhattan College,"221 EAST 71 STREET, 10021",College/University
61,278f054d-8159-4b98-97e9-f00f3b4cf027,2025-04-08T08:02:00,40.74868111655497,-73.9953620336229,2025-04-08 09:49:00,,,user_7219,"College Of New Rochelle, The / School Of New Resources/New York Theological Seminary Campus","252 WEST 29 STREET, 10001",College/University
62,ef165b8f-f806-4c58-ae22-58c225ec770c,2025-04-08T08:27:00,40.74240548177522,-73.99057872656032,2025-04-08 09:48:00,,,user_3969,Touro College,"27 WEST 23 STREET, 10010",College/University
63,6f12b6da-33bd-4000-b46f-566fc6d1e2dd,2025-04-08T10:01:00,40.724530937742024,-73.99539777630206,2025-04-08 10:33:00,,,user_6528,Pratt Institute / Manhattan Campus,"295 LAFAYETTE STREET, 10012",College/University
64,0ad549ef-ffce-44a4-9b36-1635f22358e5,2025-04-08T09:48:00,40.72813483481943,-73.99162508259106,2025-04-08 10:58:00,,,user_3123,"Cooper Union, The / For The Advancement Of Science And Art Suite 300","30 COOPER SQUARE, 10003",College/University
65,a8a2f5f8-a31e-4d67-a30f-0bab68a5a9d9,2025-04-08T08:01:00,40.80913269168725,-73.96394826057096,2025-04-08 09:49:00,,,user_9248,Barnard College,"3009 BROADWAY, 10027",College/University
